"Year" "State" "Age" "Sex" "Deaths" "Population"
"11851" 2006 "Michigan" "35-44" "F" 1056 722770
"11853" 2007 "Michigan" "35-44" "F" 961 705694
"11855" 2008 "Michigan" "35-44" "F" 983 683270
"11857" 2009 "Michigan" "35-44" "F" 939 659369
"11859" 2010 "Michigan" "35-44" "F" 939 644653
"11861" 2011 "Michigan" "35-44" "F" 934 626827
"11863" 2012 "Michigan" "35-44" "F" 831 616299
"11865" 2013 "Michigan" "35-44" "F" 883 606780
"11867" 2014 "Michigan" "35-44" "F" 915 600083
"11869" 2015 "Michigan" "35-44" "F" 915 592856
"11871" 2016 "Michigan" "35-44" "F" 945 583696
"11873" 2017 "Michigan" "35-44" "F" 934 582623
"11875" 2018 "Michigan" "35-44" "F" 979 585523
"11877" 2019 "Michigan" "35-44" "F" 918 586179
"11879" 2020 "Michigan" "35-44" "F" 1128 588141
"12365" 1999 "Minnesota" "35-44" "F" 417 408256
"12367" 2000 "Minnesota" "35-44" "F" 402 408865
"12369" 2001 "Minnesota" "35-44" "F" 355 407337
"12371" 2002 "Minnesota" "35-44" "F" 361 401486
"12373" 2003 "Minnesota" "35-44" "F" 415 393813
"12375" 2004 "Minnesota" "35-44" "F" 392 386990
"12377" 2005 "Minnesota" "35-44" "F" 368 379838
"12379" 2006 "Minnesota" "35-44" "F" 373 372972
"12381" 2007 "Minnesota" "35-44" "F" 362 363752
"12383" 2008 "Minnesota" "35-44" "F" 355 352845
"12385" 2009 "Minnesota" "35-44" "F" 326 343594
"12387" 2010 "Minnesota" "35-44" "F" 290 338045
"12389" 2011 "Minnesota" "35-44" "F" 301 331989
"12391" 2012 "Minnesota" "35-44" "F" 331 329887
"12393" 2013 "Minnesota" "35-44" "F" 330 330231
"12395" 2014 "Minnesota" "35-44" "F" 338 330583
"12397" 2015 "Minnesota" "35-44" "F" 331 331577
"12399" 2016 "Minnesota" "35-44" "F" 335 333276
"12401" 2017 "Minnesota" "35-44" "F" 344 342075
"12403" 2018 "Minnesota" "35-44" "F" 361 349477
"12405" 2019 "Minnesota" "35-44" "F" 391 357143
"12407" 2020 "Minnesota" "35-44" "F" 470 364282
"12893" 1999 "Mississippi" "35-44" "F" 488 218646
"12895" 2000 "Mississippi" "35-44" "F" 514 218877
"12897" 2001 "Mississippi" "35-44" "F" 492 216027
"12899" 2002 "Mississippi" "35-44" "F" 490 212342
"12901" 2003 "Mississippi" "35-44" "F" 528 209044
"12903" 2004 "Mississippi" "35-44" "F" 460 206656
"12905" 2005 "Mississippi" "35-44" "F" 494 204517
"12907" 2006 "Mississippi" "35-44" "F" 479 201723
"12909" 2007 "Mississippi" "35-44" "F" 425 199974
"12911" 2008 "Mississippi" "35-44" "F" 449 197481
"12913" 2009 "Mississippi" "35-44" "F" 425 193974
"12915" 2010 "Mississippi" "35-44" "F" 402 191919
"12917" 2011 "Mississippi" "35-44" "F" 447 189895
"12919" 2012 "Mississippi" "35-44" "F" 433 189906
"12921" 2013 "Mississippi" "35-44" "F" 406 189910
"12923" 2014 "Mississippi" "35-44" "F" 436 189562
"12925" 2015 "Mississippi" "35-44" "F" 419 189483
"12927" 2016 "Mississippi" "35-44" "F" 415 188109
"12929" 2017 "Mississippi" "35-44" "F" 420 187765
"12931" 2018 "Mississippi" "35-44" "F" 440 187669
"12933" 2019 "Mississippi" "35-44" "F" 434 188254
"12935" 2020 "Mississippi" "35-44" "F" 554 188804
"13421" 1999 "Missouri" "35-44" "F" 709 448167
"13423" 2000 "Missouri" "35-44" "F" 689 448172
"13425" 2001 "Missouri" "35-44" "F" 706 443322
"13427" 2002 "Missouri" "35-44" "F" 700 435403
"13429" 2003 "Missouri" "35-44" "F" 757 427015
"13431" 2004 "Missouri" "35-44" "F" 667 419816
"13433" 2005 "Missouri" "35-44" "F" 697 413466
"13435" 2006 "Missouri" "35-44" "F" 650 407713
"13437" 2007 "Missouri" "35-44" "F" 633 400508
"13439" 2008 "Missouri" "35-44" "F" 615 391246
"13441" 2009 "Missouri" "35-44" "F" 598 382132
"13443" 2010 "Missouri" "35-44" "F" 621 376618
"13445" 2011 "Missouri" "35-44" "F" 588 370185
"13447" 2012 "Missouri" "35-44" "F" 535 367588
"13449" 2013 "Missouri" "35-44" "F" 572 367564
"13451" 2014 "Missouri" "35-44" "F" 591 367645
"13453" 2015 "Missouri" "35-44" "F" 592 368356
"13455" 2016 "Missouri" "35-44" "F" 631 367318
"13457" 2017 "Missouri" "35-44" "F" 612 369556
"13459" 2018 "Missouri" "35-44" "F" 674 374193
"13461" 2019 "Missouri" "35-44" "F" 648 378722
"13463" 2020 "Missouri" "35-44" "F" 786 383435
"13949" 1999 "Montana" "35-44" "F" 86 72952
"13951" 2000 "Montana" "35-44" "F" 83 71999
"13953" 2001 "Montana" "35-44" "F" 94 69802
"13955" 2002 "Montana" "35-44" "F" 100 67416
"13957" 2003 "Montana" "35-44" "F" 97 65115
"13959" 2004 "Montana" "35-44" "F" 124 63379
"13961" 2005 "Montana" "35-44" "F" 103 61716
"13963" 2006 "Montana" "35-44" "F" 84 60598
"13965" 2007 "Montana" "35-44" "F" 95 59584
"13967" 2008 "Montana" "35-44" "F" 87 58066
"13969" 2009 "Montana" "35-44" "F" 93 56327
"13971" 2010 "Montana" "35-44" "F" 81 55742
"13973" 2011 "Montana" "35-44" "F" 90 55183
"13975" 2012 "Montana" "35-44" "F" 82 55576
"13977" 2013 "Montana" "35-44" "F" 97 56401
"13979" 2014 "Montana" "35-44" "F" 83 56606
"13981" 2015 "Montana" "35-44" "F" 96 57222
"13983" 2016 "Montana" "35-44" "F" 113 58136
"13985" 2017 "Montana" "35-44" "F" 91 59796
"13987" 2018 "Montana" "35-44" "F" 97 61599
"13989" 2019 "Montana" "35-44" "F" 105 63306
"13991" 2020 "Montana" "35-44" "F" 114 65401
"14477" 1999 "Nebraska" "35-44" "F" 154 132342
"14479" 2000 "Nebraska" "35-44" "F" 146 131214
"14481" 2001 "Nebraska" "35-44" "F" 158 128599
"14483" 2002 "Nebraska" "35-44" "F" 179 126143
"14485" 2003 "Nebraska" "35-44" "F" 158 123312
"14487" 2004 "Nebraska" "35-44" "F" 140 121311
"14489" 2005 "Nebraska" "35-44" "F" 148 118573
"14491" 2006 "Nebraska" "35-44" "F" 146 116181
"14493" 2007 "Nebraska" "35-44" "F" 149 113787
"14495" 2008 "Nebraska" "35-44" "F" 148 111424
"14497" 2009 "Nebraska" "35-44" "F" 132 109496
"14499" 2010 "Nebraska" "35-44" "F" 115 108890
"14501" 2011 "Nebraska" "35-44" "F" 139 108336
"14503" 2012 "Nebraska" "35-44" "F" 121 108645
"14505" 2013 "Nebraska" "35-44" "F" 127 109766
"14507" 2014 "Nebraska" "35-44" "F" 144 110684
"14509" 2015 "Nebraska" "35-44" "F" 123 112294
"14511" 2016 "Nebraska" "35-44" "F" 133 113377
"14513" 2017 "Nebraska" "35-44" "F" 136 115233
"14515" 2018 "Nebraska" "35-44" "F" 155 117362
"14517" 2019 "Nebraska" "35-44" "F" 153 119261
"14519" 2020 "Nebraska" "35-44" "F" 155 120719
"15005" 1999 "Nevada" "35-44" "F" 237 151100
"15007" 2000 "Nevada" "35-44" "F" 273 154255
"15009" 2001 "Nevada" "35-44" "F" 262 159894
"15011" 2002 "Nevada" "35-44" "F" 314 163703
"15013" 2003 "Nevada" "35-44" "F" 294 167125
"15015" 2004 "Nevada" "35-44" "F" 258 172259
"15017" 2005 "Nevada" "35-44" "F" 291 177207
"15019" 2006 "Nevada" "35-44" "F" 302 182578
"15021" 2007 "Nevada" "35-44" "F" 298 186014
"15023" 2008 "Nevada" "35-44" "F" 281 187808
"15025" 2009 "Nevada" "35-44" "F" 253 186845
"15027" 2010 "Nevada" "35-44" "F" 279 185853
"15029" 2011 "Nevada" "35-44" "F" 275 184124
"15031" 2012 "Nevada" "35-44" "F" 252 185348
"15033" 2013 "Nevada" "35-44" "F" 249 186012
"15035" 2014 "Nevada" "35-44" "F" 275 188413
"15037" 2015 "Nevada" "35-44" "F" 275 190079
"15039" 2016 "Nevada" "35-44" "F" 271 191626
"15041" 2017 "Nevada" "35-44" "F" 279 196562
"15043" 2018 "Nevada" "35-44" "F" 291 199648
"15045" 2019 "Nevada" "35-44" "F" 292 202851
"15047" 2020 "Nevada" "35-44" "F" 348 207790
"15533" 1999 "New Hampshire" "35-44" "F" 107 111194
"15535" 2000 "New Hampshire" "35-44" "F" 116 111525
"15537" 2001 "New Hampshire" "35-44" "F" 96 111768
"15539" 2002 "New Hampshire" "35-44" "F" 113 110607
"15541" 2003 "New Hampshire" "35-44" "F" 112 108881
"15543" 2004 "New Hampshire" "35-44" "F" 116 107001
"15545" 2005 "New Hampshire" "35-44" "F" 109 105165
"15547" 2006 "New Hampshire" "35-44" "F" 104 103097
"15549" 2007 "New Hampshire" "35-44" "F" 108 100412
"15551" 2008 "New Hampshire" "35-44" "F" 100 97049
"15553" 2009 "New Hampshire" "35-44" "F" 86 93389
"15555" 2010 "New Hampshire" "35-44" "F" 86 90600
"15557" 2011 "New Hampshire" "35-44" "F" 78 87077
"15559" 2012 "New Hampshire" "35-44" "F" 81 84456
"15561" 2013 "New Hampshire" "35-44" "F" 83 81884
"15563" 2014 "New Hampshire" "35-44" "F" 77 79981
"15565" 2015 "New Hampshire" "35-44" "F" 121 78063
"15567" 2016 "New Hampshire" "35-44" "F" 119 76378
"15569" 2017 "New Hampshire" "35-44" "F" 101 76171
"15571" 2018 "New Hampshire" "35-44" "F" 94 77208
"15573" 2019 "New Hampshire" "35-44" "F" 106 78139
"15575" 2020 "New Hampshire" "35-44" "F" 110 79357
"16061" 1999 "New Jersey" "35-44" "F" 1071 725132
"16063" 2000 "New Jersey" "35-44" "F" 996 726815
"16065" 2001 "New Jersey" "35-44" "F" 1025 729027
"16067" 2002 "New Jersey" "35-44" "F" 1011 726118
"16069" 2003 "New Jersey" "35-44" "F" 914 719380
"16071" 2004 "New Jersey" "35-44" "F" 891 710072
"16073" 2005 "New Jersey" "35-44" "F" 900 700572
"16075" 2006 "New Jersey" "35-44" "F" 836 690286
"16077" 2007 "New Jersey" "35-44" "F" 801 675595
"16079" 2008 "New Jersey" "35-44" "F" 732 659155
"16081" 2009 "New Jersey" "35-44" "F" 680 642615
"16083" 2010 "New Jersey" "35-44" "F" 654 631196
"16085" 2011 "New Jersey" "35-44" "F" 622 616152
"16087" 2012 "New Jersey" "35-44" "F" 649 608644
"16089" 2013 "New Jersey" "35-44" "F" 617 598913
"16091" 2014 "New Jersey" "35-44" "F" 613 594700
"16093" 2015 "New Jersey" "35-44" "F" 586 588859
"16095" 2016 "New Jersey" "35-44" "F" 641 578865
"16097" 2017 "New Jersey" "35-44" "F" 633 582345
"16099" 2018 "New Jersey" "35-44" "F" 645 573947
"16101" 2019 "New Jersey" "35-44" "F" 638 572621
"16103" 2020 "New Jersey" "35-44" "F" 802 573613
"16589" 1999 "New Mexico" "35-44" "F" 225 143832
"16591" 2000 "New Mexico" "35-44" "F" 253 143117
"16593" 2001 "New Mexico" "35-44" "F" 249 140576
"16595" 2002 "New Mexico" "35-44" "F" 206 138316
"16597" 2003 "New Mexico" "35-44" "F" 243 136001
"16599" 2004 "New Mexico" "35-44" "F" 219 134316
"16601" 2005 "New Mexico" "35-44" "F" 229 133053
"16603" 2006 "New Mexico" "35-44" "F" 220 131585
"16605" 2007 "New Mexico" "35-44" "F" 194 130110
"16607" 2008 "New Mexico" "35-44" "F" 266 127552
"16609" 2009 "New Mexico" "35-44" "F" 242 125884
"16611" 2010 "New Mexico" "35-44" "F" 203 124882
"16613" 2011 "New Mexico" "35-44" "F" 237 123765
"16615" 2012 "New Mexico" "35-44" "F" 218 122833
"16617" 2013 "New Mexico" "35-44" "F" 202 121873
"16619" 2014 "New Mexico" "35-44" "F" 222 121425
"16621" 2015 "New Mexico" "35-44" "F" 252 121324
"16623" 2016 "New Mexico" "35-44" "F" 259 121011
"16625" 2017 "New Mexico" "35-44" "F" 243 122389
"16627" 2018 "New Mexico" "35-44" "F" 262 124531
"16629" 2019 "New Mexico" "35-44" "F" 295 126368
"16631" 2020 "New Mexico" "35-44" "F" 386 128380
"17117" 1999 "New York" "35-44" "F" 2136 1563349
"17119" 2000 "New York" "35-44" "F" 2043 1565022
"17121" 2001 "New York" "35-44" "F" 2290 1562748
"17123" 2002 "New York" "35-44" "F" 2152 1548213
"17125" 2003 "New York" "35-44" "F" 1974 1529994
"17127" 2004 "New York" "35-44" "F" 1903 1507923
"17129" 2005 "New York" "35-44" "F" 1837 1482689
"17131" 2006 "New York" "35-44" "F" 1720 1456806
"17133" 2007 "New York" "35-44" "F" 1636 1424500
"17135" 2008 "New York" "35-44" "F" 1498 1391365
"17137" 2009 "New York" "35-44" "F" 1479 1354426
"17139" 2010 "New York" "35-44" "F" 1330 1332909
"17141" 2011 "New York" "35-44" "F" 1325 1305674
"17143" 2012 "New York" "35-44" "F" 1217 1293432
"17145" 2013 "New York" "35-44" "F" 1271 1281161
"17147" 2014 "New York" "35-44" "F" 1272 1276893
"17149" 2015 "New York" "35-44" "F" 1273 1270601
"17151" 2016 "New York" "35-44" "F" 1320 1252538
"17153" 2017 "New York" "35-44" "F" 1256 1252163
"17155" 2018 "New York" "35-44" "F" 1284 1233477
"17157" 2019 "New York" "35-44" "F" 1255 1230789
"17159" 2020 "New York" "35-44" "F" 1691 1229891
"17645" 1999 "North Carolina" "35-44" "F" 995 646608
"17647" 2000 "North Carolina" "35-44" "F" 1023 649819
"17649" 2001 "North Carolina" "35-44" "F" 1124 653977
"17651" 2002 "North Carolina" "35-44" "F" 1119 654113
"17653" 2003 "North Carolina" "35-44" "F" 1106 654460
"17655" 2004 "North Carolina" "35-44" "F" 1122 654655
"17657" 2005 "North Carolina" "35-44" "F" 1083 661005
"17659" 2006 "North Carolina" "35-44" "F" 1101 670517
"17661" 2007 "North Carolina" "35-44" "F" 1062 680212
"17663" 2008 "North Carolina" "35-44" "F" 1044 681401
"17665" 2009 "North Carolina" "35-44" "F" 970 677353
"17667" 2010 "North Carolina" "35-44" "F" 929 672818
"17669" 2011 "North Carolina" "35-44" "F" 910 668767
"17671" 2012 "North Carolina" "35-44" "F" 964 667286
"17673" 2013 "North Carolina" "35-44" "F" 1016 667562
"17675" 2014 "North Carolina" "35-44" "F" 1001 665767
"17677" 2015 "North Carolina" "35-44" "F" 981 663459
"17679" 2016 "North Carolina" "35-44" "F" 1047 659691
"17681" 2017 "North Carolina" "35-44" "F" 1048 660985
"17683" 2018 "North Carolina" "35-44" "F" 1038 664771
"17685" 2019 "North Carolina" "35-44" "F" 1034 669132
"17687" 2020 "North Carolina" "35-44" "F" 1250 676052
"18173" 1999 "North Dakota" "35-44" "F" 60 49508
"18175" 2000 "North Dakota" "35-44" "F" 49 48759
"18177" 2001 "North Dakota" "35-44" "F" 51 46899
"18179" 2002 "North Dakota" "35-44" "F" 45 45410
"18181" 2003 "North Dakota" "35-44" "F" 46 43619
"18183" 2004 "North Dakota" "35-44" "F" 43 42125
"18185" 2005 "North Dakota" "35-44" "F" 48 40880
"18187" 2006 "North Dakota" "35-44" "F" 43 39441
"18189" 2007 "North Dakota" "35-44" "F" 29 38570
"18191" 2008 "North Dakota" "35-44" "F" 52 37336
"18193" 2009 "North Dakota" "35-44" "F" 52 36691
"18195" 2010 "North Dakota" "35-44" "F" 46 36436
"18197" 2011 "North Dakota" "35-44" "F" 39 36241
"18199" 2012 "North Dakota" "35-44" "F" 59 36826
"18201" 2013 "North Dakota" "35-44" "F" 66 37770
"18203" 2014 "North Dakota" "35-44" "F" 55 38694
"18205" 2015 "North Dakota" "35-44" "F" 57 39915
"18207" 2016 "North Dakota" "35-44" "F" 64 40385
"18209" 2017 "North Dakota" "35-44" "F" 59 41323
"18211" 2018 "North Dakota" "35-44" "F" 70 42386
"18213" 2019 "North Dakota" "35-44" "F" 61 43423
"18215" 2020 "North Dakota" "35-44" "F" 65 44467
"18701" 1999 "Ohio" "35-44" "F" 1328 921019
"18703" 2000 "Ohio" "35-44" "F" 1305 915233
"18705" 2001 "Ohio" "35-44" "F" 1298 900970
"18707" 2002 "Ohio" "35-44" "F" 1302 882134
"18709" 2003 "Ohio" "35-44" "F" 1281 861351
"18711" 2004 "Ohio" "35-44" "F" 1206 844388
"18713" 2005 "Ohio" "35-44" "F" 1302 829324
"18715" 2006 "Ohio" "35-44" "F" 1156 815403
"18717" 2007 "Ohio" "35-44" "F" 1098 799182
"18719" 2008 "Ohio" "35-44" "F" 1131 779876
"18721" 2009 "Ohio" "35-44" "F" 1153 759298
"18723" 2010 "Ohio" "35-44" "F" 1099 745515
"18725" 2011 "Ohio" "35-44" "F" 1059 729147
"18727" 2012 "Ohio" "35-44" "F" 1134 718907
"18729" 2013 "Ohio" "35-44" "F" 1073 713757
"18731" 2014 "Ohio" "35-44" "F" 1137 708315
"18733" 2015 "Ohio" "35-44" "F" 1238 703398
"18735" 2016 "Ohio" "35-44" "F" 1271 694268
"18737" 2017 "Ohio" "35-44" "F" 1411 694780
"18739" 2018 "Ohio" "35-44" "F" 1329 699646
"18741" 2019 "Ohio" "35-44" "F" 1308 703653
"18743" 2020 "Ohio" "35-44" "F" 1494 710062
"19229" 1999 "Oklahoma" "35-44" "F" 471 264662
"19231" 2000 "Oklahoma" "35-44" "F" 486 262800
"19233" 2001 "Oklahoma" "35-44" "F" 490 257869
"19235" 2002 "Oklahoma" "35-44" "F" 463 252481
"19237" 2003 "Oklahoma" "35-44" "F" 471 247078
"19239" 2004 "Oklahoma" "35-44" "F" 496 242245
"19241" 2005 "Oklahoma" "35-44" "F" 466 239004
"19243" 2006 "Oklahoma" "35-44" "F" 475 236982
"19245" 2007 "Oklahoma" "35-44" "F" 472 234567
"19247" 2008 "Oklahoma" "35-44" "F" 482 231261
"19249" 2009 "Oklahoma" "35-44" "F" 432 228606
"19251" 2010 "Oklahoma" "35-44" "F" 419 228548
"19253" 2011 "Oklahoma" "35-44" "F" 449 228218
"19255" 2012 "Oklahoma" "35-44" "F" 453 229602
"19257" 2013 "Oklahoma" "35-44" "F" 497 232145
"19259" 2014 "Oklahoma" "35-44" "F" 496 234535
"19261" 2015 "Oklahoma" "35-44" "F" 491 236770
"19263" 2016 "Oklahoma" "35-44" "F" 517 237617
"19265" 2017 "Oklahoma" "35-44" "F" 488 239993
"19267" 2018 "Oklahoma" "35-44" "F" 440 244066
"19269" 2019 "Oklahoma" "35-44" "F" 492 247685
"19271" 2020 "Oklahoma" "35-44" "F" 560 251700
"19757" 1999 "Oregon" "35-44" "F" 317 266709
"19759" 2000 "Oregon" "35-44" "F" 363 263419
"19761" 2001 "Oregon" "35-44" "F" 331 259754
"19763" 2002 "Oregon" "35-44" "F" 359 255824
"19765" 2003 "Oregon" "35-44" "F" 339 251791
"19767" 2004 "Oregon" "35-44" "F" 362 249110
"19769" 2005 "Oregon" "35-44" "F" 314 249107
"19771" 2006 "Oregon" "35-44" "F" 330 250082
"19773" 2007 "Oregon" "35-44" "F" 296 249049
"19775" 2008 "Oregon" "35-44" "F" 333 247951
"19777" 2009 "Oregon" "35-44" "F" 274 246297
"19779" 2010 "Oregon" "35-44" "F" 280 245938
"19781" 2011 "Oregon" "35-44" "F" 292 246592
"19783" 2012 "Oregon" "35-44" "F" 308 249293
"19785" 2013 "Oregon" "35-44" "F" 270 252488
"19787" 2014 "Oregon" "35-44" "F" 316 255009
"19789" 2015 "Oregon" "35-44" "F" 302 258876
"19791" 2016 "Oregon" "35-44" "F" 281 263068
"19793" 2017 "Oregon" "35-44" "F" 338 270987
"19795" 2018 "Oregon" "35-44" "F" 310 277170
"19797" 2019 "Oregon" "35-44" "F" 329 281624
"19799" 2020 "Oregon" "35-44" "F" 368 286765
"20285" 1999 "Pennsylvania" "35-44" "F" 1384 991694
"20287" 2000 "Pennsylvania" "35-44" "F" 1366 986962
"20289" 2001 "Pennsylvania" "35-44" "F" 1445 973817
"20291" 2002 "Pennsylvania" "35-44" "F" 1410 956926
"20293" 2003 "Pennsylvania" "35-44" "F" 1383 937746
"20295" 2004 "Pennsylvania" "35-44" "F" 1351 920035
"20297" 2005 "Pennsylvania" "35-44" "F" 1288 904768
"20299" 2006 "Pennsylvania" "35-44" "F" 1294 891536
"20301" 2007 "Pennsylvania" "35-44" "F" 1170 874155
"20303" 2008 "Pennsylvania" "35-44" "F" 1134 853198
"20305" 2009 "Pennsylvania" "35-44" "F" 1125 830265
"20307" 2010 "Pennsylvania" "35-44" "F" 1087 813808
"20309" 2011 "Pennsylvania" "35-44" "F" 1040 792955
"20311" 2012 "Pennsylvania" "35-44" "F" 1030 778926
"20313" 2013 "Pennsylvania" "35-44" "F" 1085 767846
"20315" 2014 "Pennsylvania" "35-44" "F" 1059 759230
"20317" 2015 "Pennsylvania" "35-44" "F" 1073 752547
"20319" 2016 "Pennsylvania" "35-44" "F" 1120 742941
"20321" 2017 "Pennsylvania" "35-44" "F" 1186 744632
"20323" 2018 "Pennsylvania" "35-44" "F" 1137 750510
"20325" 2019 "Pennsylvania" "35-44" "F" 1169 757088
"20327" 2020 "Pennsylvania" "35-44" "F" 1348 766613
"20813" 1999 "Rhode Island" "35-44" "F" 114 86682
"20815" 2000 "Rhode Island" "35-44" "F" 111 87046
"20817" 2001 "Rhode Island" "35-44" "F" 120 86850
"20819" 2002 "Rhode Island" "35-44" "F" 122 86147
"20821" 2003 "Rhode Island" "35-44" "F" 99 85272
"20823" 2004 "Rhode Island" "35-44" "F" 97 83716
"20825" 2005 "Rhode Island" "35-44" "F" 101 81926
"20827" 2006 "Rhode Island" "35-44" "F" 85 79738
"20829" 2007 "Rhode Island" "35-44" "F" 76 77256
"20831" 2008 "Rhode Island" "35-44" "F" 76 74307
"20833" 2009 "Rhode Island" "35-44" "F" 73 71852
"20835" 2010 "Rhode Island" "35-44" "F" 86 70040
"20837" 2011 "Rhode Island" "35-44" "F" 76 67547
"20839" 2012 "Rhode Island" "35-44" "F" 61 66015
"20841" 2013 "Rhode Island" "35-44" "F" 55 64567
"20843" 2014 "Rhode Island" "35-44" "F" 70 63796
"20845" 2015 "Rhode Island" "35-44" "F" 57 62914
"20847" 2016 "Rhode Island" "35-44" "F" 82 62122
"20849" 2017 "Rhode Island" "35-44" "F" 82 62205
"20851" 2018 "Rhode Island" "35-44" "F" 75 62443
"20853" 2019 "Rhode Island" "35-44" "F" 75 62780
"20855" 2020 "Rhode Island" "35-44" "F" 97 63268
"21341" 1999 "South Carolina" "35-44" "F" 615 317733
"21343" 2000 "South Carolina" "35-44" "F" 603 319133
"21345" 2001 "South Carolina" "35-44" "F" 648 318674
"21347" 2002 "South Carolina" "35-44" "F" 585 315452
"21349" 2003 "South Carolina" "35-44" "F" 647 312788
"21351" 2004 "South Carolina" "35-44" "F" 594 311788
"21353" 2005 "South Carolina" "35-44" "F" 596 311194
"21355" 2006 "South Carolina" "35-44" "F" 604 312793
"21357" 2007 "South Carolina" "35-44" "F" 635 313455
"21359" 2008 "South Carolina" "35-44" "F" 592 313025
"21361" 2009 "South Carolina" "35-44" "F" 506 309457
"21363" 2010 "South Carolina" "35-44" "F" 544 306068
"21365" 2011 "South Carolina" "35-44" "F" 547 301975
"21367" 2012 "South Carolina" "35-44" "F" 481 301716
"21369" 2013 "South Carolina" "35-44" "F" 544 302944
"21371" 2014 "South Carolina" "35-44" "F" 550 303815
"21373" 2015 "South Carolina" "35-44" "F" 571 305495
"21375" 2016 "South Carolina" "35-44" "F" 565 306731
"21377" 2017 "South Carolina" "35-44" "F" 576 309868
"21379" 2018 "South Carolina" "35-44" "F" 615 314223
"21381" 2019 "South Carolina" "35-44" "F" 602 319094
"21383" 2020 "South Carolina" "35-44" "F" 792 324893
"21869" 1999 "South Dakota" "35-44" "F" 79 57450
"21871" 2000 "South Dakota" "35-44" "F" 73 57293
"21873" 2001 "South Dakota" "35-44" "F" 63 56021
"21875" 2002 "South Dakota" "35-44" "F" 79 54599
"21877" 2003 "South Dakota" "35-44" "F" 77 53195
"21879" 2004 "South Dakota" "35-44" "F" 72 51926
"21881" 2005 "South Dakota" "35-44" "F" 62 50525
"21883" 2006 "South Dakota" "35-44" "F" 73 49493
"21885" 2007 "South Dakota" "35-44" "F" 58 48308
"21887" 2008 "South Dakota" "35-44" "F" 71 46952
"21889" 2009 "South Dakota" "35-44" "F" 56 46042
"21891" 2010 "South Dakota" "35-44" "F" 60 45628
"21893" 2011 "South Dakota" "35-44" "F" 59 45321
"21895" 2012 "South Dakota" "35-44" "F" 63 45563
"21897" 2013 "South Dakota" "35-44" "F" 67 46022
"21899" 2014 "South Dakota" "35-44" "F" 89 46500
"21901" 2015 "South Dakota" "35-44" "F" 66 47102
"21903" 2016 "South Dakota" "35-44" "F" 73 47753
"21905" 2017 "South Dakota" "35-44" "F" 82 48778
"21907" 2018 "South Dakota" "35-44" "F" 69 50161
"21909" 2019 "South Dakota" "35-44" "F" 90 51054
"21911" 2020 "South Dakota" "35-44" "F" 108 52149
"22397" 1999 "Tennessee" "35-44" "F" 797 458345
"22399" 2000 "Tennessee" "35-44" "F" 779 459616
"22401" 2001 "Tennessee" "35-44" "F" 887 457301
"22403" 2002 "Tennessee" "35-44" "F" 956 452017
"22405" 2003 "Tennessee" "35-44" "F" 947 447837
"22407" 2004 "Tennessee" "35-44" "F" 874 444168
"22409" 2005 "Tennessee" "35-44" "F" 915 443305
"22411" 2006 "Tennessee" "35-44" "F" 903 446135
"22413" 2007 "Tennessee" "35-44" "F" 849 445295
"22415" 2008 "Tennessee" "35-44" "F" 844 442311
"22417" 2009 "Tennessee" "35-44" "F" 796 435522
"22419" 2010 "Tennessee" "35-44" "F" 798 431356
"22421" 2011 "Tennessee" "35-44" "F" 781 426259
"22423" 2012 "Tennessee" "35-44" "F" 821 425238
"22425" 2013 "Tennessee" "35-44" "F" 773 425341
"22427" 2014 "Tennessee" "35-44" "F" 834 425668
"22429" 2015 "Tennessee" "35-44" "F" 877 424572
"22431" 2016 "Tennessee" "35-44" "F" 874 421871
"22433" 2017 "Tennessee" "35-44" "F" 908 423346
"22435" 2018 "Tennessee" "35-44" "F" 874 426167
"22437" 2019 "Tennessee" "35-44" "F" 878 430125
"22439" 2020 "Tennessee" "35-44" "F" 1124 434273
"22925" 1999 "Texas" "35-44" "F" 2234 1644244
"22927" 2000 "Texas" "35-44" "F" 2318 1653634
"22929" 2001 "Texas" "35-44" "F" 2319 1664764
"22931" 2002 "Texas" "35-44" "F" 2508 1660285
"22933" 2003 "Texas" "35-44" "F" 2444 1657264
"22935" 2004 "Texas" "35-44" "F" 2312 1660777
"22937" 2005 "Texas" "35-44" "F" 2422 1667729
"22939" 2006 "Texas" "35-44" "F" 2365 1694251
"22941" 2007 "Texas" "35-44" "F" 2322 1709763
"22943" 2008 "Texas" "35-44" "F" 2366 1718147
"22945" 2009 "Texas" "35-44" "F" 2252 1726767
"22947" 2010 "Texas" "35-44" "F" 2156 1735378
"22949" 2011 "Texas" "35-44" "F" 2244 1752937
"22951" 2012 "Texas" "35-44" "F" 2112 1772834
"22953" 2013 "Texas" "35-44" "F" 2275 1791923
"22955" 2014 "Texas" "35-44" "F" 2357 1824605
"22957" 2015 "Texas" "35-44" "F" 2387 1851792
"22959" 2016 "Texas" "35-44" "F" 2390 1865178
"22961" 2017 "Texas" "35-44" "F" 2455 1901053
"22963" 2018 "Texas" "35-44" "F" 2426 1935460
"22965" 2019 "Texas" "35-44" "F" 2507 1963511
"22967" 2020 "Texas" "35-44" "F" 3066 1999907
"23453" 1999 "Utah" "35-44" "F" 183 147930
"23455" 2000 "Utah" "35-44" "F" 181 147960
"23457" 2001 "Utah" "35-44" "F" 183 147787
"23459" 2002 "Utah" "35-44" "F" 188 146730
